"Season","1st Date","# of Perfs","Conductor","Orch.","Location","Venue","Event","Soloist","ID"
"1882-83","11/21/1882 00:00:00","1","Leopold Damrosch","New York Symphony","Cincinnati, OH","Music Hall","Tour","Isidora Martinez,Madge Wickham","15264"
"1892-93","05/15/1893 20:00:00","1","Walter Damrosch","New York Symphony","St. Louis, MO","Exposition Music Hall","Tour","Lillian Evans Blauvelt","15255"
"1909-10","12/01/1909 14:00:00","1","Walter Damrosch","New York Symphony","Philadelphia, PA","Academy of Music","Tour","Isadora Duncan,Augustin Duncan","15193"
"1909-10","10/28/1909 20:15:00","1","Walter Damrosch","New York Symphony","Cincinnati, OH","Music Hall","Tour","Isadora Duncan","15184"
"1909-10","10/26/1909 20:30:00","1","Walter Damrosch","New York Symphony","St. Louis, MO","Coliseum","Tour","Isadora Duncan","15183"
"1909-10","10/15/1909 15:00:00","1","Walter Damrosch","New York Symphony","Grand Rapids, MI","Powers Theater","Tour","Isadora Duncan","15177"
"1909-10","10/14/1909 20:00:00","1","Walter Damrosch","New York Symphony","Detroit, MI","Light Guard Armory","Tour","Isadora Duncan","15176"
"1908-09","12/29/1908 00:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","Isadora Duncan","15173"
"1908-09","12/15/1908 20:15:00","1","Walter Damrosch","New York Symphony","Brooklyn, NY","Brooklyn Academy of Music","Runout","Isadora Duncan","15168"
"1908-09","11/19/1908 20:15:00","1","Walter Damrosch","New York Symphony","Philadelphia, PA","Academy of Music","Tour","Isadora Duncan","15164"
"2025-26","09/18/2025 19:30:00","4","Gustavo Dudamel","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","","15063"
"2024-25","07/22/2025 18:00:00","1","Rafael Payare","New York Philharmonic","Vail, CO","Gerald R. Ford Amphitheater","Tour","Yekwon Sunwoo","15045"
"2024-25","06/27/2025 19:30:00","1","Esa-Pekka Salonen","New York Philharmonic","Seoul, KOREA","Seoul Arts Center (Concert Hall)","Tour","Krystian Zimerman","15052"
"2024-25","06/26/2025 19:30:00","1","Esa-Pekka Salonen","New York Philharmonic","Incheon, South Korea","Arts Center Incheon","Tour","Krystian Zimerman","15051"
"2024-25","02/06/2025 10:30:00","1","Jerry Hou","New York Philharmonic","Manhattan, NY","David Geffen Hall","Young People's Concerts for Schools","Douglas Fitch,Justin Jay Hines,Missy Mazzoli","15068"
"2024-25","11/23/2024 19:30:00","1","Paavo Järvi","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Yefim Bronfman","15133"
"2024-25","10/05/2024 19:30:00","1","Manfred Honeck","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Víkingur Ólafsson","15057"
"2023-24","03/19/2024 19:30:00","1","Jaap van Zweden","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Conrad Tao","15001"
"2024-25","02/08/2025 14:00:00","1","Jerry Hou","New York Philharmonic","Manhattan, NY","David Geffen Hall","Young People's Concert","Douglas Fitch,Justin Jay Hines,Missy Mazzoli","14960"
"2024-25","02/05/2025 10:30:00","2","Jerry Hou","New York Philharmonic","Manhattan, NY","David Geffen Hall","Young People's Concerts for Schools","Douglas Fitch,Justin Jay Hines,Missy Mazzoli","14959"
"2024-25","12/07/2024 14:00:00","1","Keri-Lynn Wilson","New York Philharmonic","Manhattan, NY","David Geffen Hall","Young People's Concert","Marcus Stevens,Dave Droxler","14951"
"2024-25","11/20/2024 19:30:00","2","Paavo Järvi","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Yefim Bronfman","14948"
"2023-24","10/07/2023 20:00:00","1","Jaap van Zweden","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Leif Ove Andsnes","14904"
"2022-23","07/05/2023 20:00:00","1","Jaap van Zweden","New York Philharmonic","Hong Kong, CHINA","Hong Kong Cultural Centre (Concert Hall)","Tour","","14866"
"2022-23","06/28/2023 19:30:00","1","Jaap van Zweden","New York Philharmonic","Taipei, TAIWAN","National Concert Hall","Tour","","14865"
"1939-40","08/11/1940 20:30:00","1","Massimo Freccia","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11662"
"1939-40","08/07/1940 20:30:00","1","Massimo Freccia","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11658"
"1939-40","08/05/1940 20:30:00","1","William Steinberg","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Josef Hofmann","11657"
"1939-40","07/28/1940 20:30:00","1","William Steinberg","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11651"
"1939-40","07/27/1940 20:30:00","1","William Steinberg","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Josef Lhevinne","11650"
"1939-40","04/25/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolf Serkin","919"
"1939-40","03/30/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert,Subscription Season","Vladimir Horowitz","2258"
"1939-40","03/28/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Antonio Brosa","509"
"1939-40","03/02/1940 11:00:00","1","Rudolph Ganz","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","St. Thomas' Choristers,Frances Sachs,Audience","6631"
"1939-40","02/15/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Vladimir Horowitz","81"
"1939-40","02/03/1940 20:45:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","Alexander Brailowsky","1784"
"1939-40","01/10/1940 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Sergei Rachmaninoff","6988"
"1939-40","12/28/1939 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Yehudi Menuhin","4457"
"1939-40","12/10/1939 15:00:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","4423"
"1939-40","12/09/1939 20:45:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","","6191"
"1938-39","08/10/1939 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Harold Bauer","11861"
"1938-39","08/09/1939 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11860"
"1938-39","08/07/1939 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Jascha Heifetz","11858"
"1938-39","08/02/1939 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Ezra Rachlin","11851"
"1938-39","07/28/1939 20:30:00","1","Alexander Smallens","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11847"
"1938-39","07/18/1939 20:30:00","1","Frieder Weissmann","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11837"
"1938-39","07/04/1939 20:30:00","1","Alexander Smallens","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","School of Music and Art","11825"
"1938-39","06/15/1939 20:30:00","1","Massimo Freccia","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","11669"
"1938-39","05/07/1939 16:00:00","1","Walter Damrosch","New York Philharmonic","Queens, NY","Hall of Music World's Fair Grounds","World's Fair","Oratorio Society of New York","1750"
"1938-39","04/30/1939 21:30:00","1","John Barbirolli","New York Philharmonic","Queens, NY","Hall of Music World's Fair Grounds","World's Fair","Josef Hofmann","4154"
"1938-39","04/27/1939 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Rudolf Serkin","2349"
"1938-39","04/23/1939 15:00:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Adolf Busch","2345"
"1938-39","03/29/1939 20:45:00","2","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Adolf Busch","2779"
"1938-39","03/25/1939 20:45:00","1","John Barbirolli","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","Joan Field","3649"
"1938-39","03/14/1939 20:15:00","1","John Barbirolli","New York Philharmonic","Hartford, CT","Bushnell Auditorium","Tour","Mishel Piastro","1894"
"1938-39","03/13/1939 20:30:00","1","John Barbirolli","New York Philharmonic","Boston, MA","Symphony Hall","Tour","Artur Schnabel","1885"
